Bite;Difficulty
Bite 154. Write your own Data Class;2.0
Bite 155. Split a string by spaces or quoted text;3.0
Bite 156. Make an index of story characters;5.0
Bite 157. Filter out accented characters;2.0
Bite 158. Subclass the list built-in;5.0
Bite 159. Create a simple calculator;3.0
Bite 160. 15-way Rock Paper Scissors;3.5
Bite 161. Count the number of files and directories;3.0
Bite 162. Vertically align output of counters;1.5
Bite 163. Which packages were upgraded?;2.5
Bite 164. CLI tool: HTML link converter (stdin to stdout);5.0
Bite 165. Parse an /etc/passwd file output;2.0
Bite 168. Ninja Rankings;None
Bite 166. Complete a tox ini file parser class;6.0
Bite 167. Complete a User class: properties and representation dunder methods;3.0
Bite 169. Simple length converter;2.0
Bite 174. String manipulation and metrics;6.0
Bite 170. Analyze McDonald's food data;2.0
Bite 171. Make a terminal spinner animation;7.0
Bite 172. Having fun with Python Partials;1.0
Bite 173. Set up future notifications;4.5
Bite 175. Find missing dates;2.0
Bite 176. Create a variable length chessboard;3.0
Bite 177. Use Pandas to find most common genres in a movie excel sheet;5.0
Bite 178. Parse PyBites blog git commit log;5.0
Bite 179. Strip comments from Python code;8.0
Bite 180. Group names by country;1.5
Bite 181. Keep a list sorted upon insert;1.33
Bite 182. Parse a bunch of quotes from HTML;2.5
Bite 183. Analyze sales data with pandas;5.0
Bite 184. Analyze some Bite stats data;3.5
Bite 185. Create a simple spelling suggester;1.0
Bite 186. Calculate number of books to have read at date ...;2.0
Bite 187. Actor/actress age at movie release;2.5
Bite 188. Get statistics from PyBites test code;2.5
Bite 189. Filter a list of names;1.0
Bite 192. Some logging practice;None
Bite 190. Parse income distribution from Latin America XML;7.5
Bite 191. Starwars character with highest BMI;1.0
Bite 193. Most upvoted StackOverflow Python questions;3.5
Bite 194. Add caching to a Fibonacci function;None
Special PyCon 2019 Bite 1: Enumerate 2 sequences;None
Special PyCon 2019 Bite 2: PyBites date generator;None
Special PyCon 2019 Bite 3: Marvel data analysis;None
Bite 195. Analyze NBA Data with sqlite3;4.5
Bite 196. Create a JS-like dict object;7.0
Bite 197. What date is Mother's Day celebrated?;2.0
Bite 198. Calculate my Mac's longest uptime;3.0
Bite 199. Multiple inheritance (__mro__);2.0
Bite 200. :P Minecraft Enchantable Items;None
