bite,user,completed
104,vminer49,True
103,vminer49,True
5,jcawcutt4i,False
102,vminer49,True
110,jcawcutt4i,True
109,jcawcutt4i,True
1,lscamp4n,False
73,dparmenter11,True
7,asedgebeer4q,False
162,caughtiel,True
26,maisman1d,True
108,jcawcutt4i,True
161,mcaberasu,True
153,mcaberasu,True
72,caughtiel,True
107,jcawcutt4i,True
106,jcawcutt4i,True
1,jcheckley1b,True
72,dparmenter11,True
29,amaddy52,False
26,amaddy52,True
157,cdumphries16,True
18,jshowell8,True
172,caughtiel,True
176,caughtiel,True
17,jshowell8,True
121,mpeacey5a,False
167,caughtiel,True
101,vminer49,True
137,cdumphries16,True
80,hduns5f,False
96,hduns5f,False
110,aalberti5i,True
77,hduns5f,True
109,aalberti5i,True
68,tdupoy2e,False
108,aalberti5i,True
169,caughtiel,True
71,dparmenter11,True
74,tdupoy2e,False
77,tdupoy2e,False
115,tdupoy2e,False
136,tdupoy2e,False
143,tdupoy2e,False
178,caughtiel,False
70,dparmenter11,True
180,caughtiel,True
149,tdupoy2e,False
114,fwasielewicz2j,False
153,tdupoy2e,False
128,tdupoy2e,False
65,bofogerty62,True
177,caughtiel,False
30,fwasielewicz2j,False
181,caughtiel,True
107,aalberti5i,True
6,lcork2m,False
26,mhynson69,True
101,hdrayn6b,False
106,aalberti5i,False
102,hdrayn6b,False
103,hdrayn6b,True
5,mhynson69,True
43,dcaselick37,False
6,rhedger6i,False
4,lcork2m,True
103,lcork2m,False
181,hcalafato2y,True
106,dcaselick37,False
105,dcaselick37,False
103,dcaselick37,True
37,jbonefant1i,True
43,jbonefant1i,False
128,spidcock6s,False
67,spidcock6s,False
102,dcaselick37,True
33,fwasielewicz2j,True
39,fwasielewicz2j,True
22,vbeebee6y,True
104,jwills70,False
103,jwills70,False
102,jwills70,False
101,jwills70,False
21,jwills70,True
7,spidcock6s,False
98,dcaselick37,False
101,dcaselick37,True
7,mfilshin6,True
21,radamkiewicz7a,True
107,joffa7c,True
102,nplayhill7e,False
101,nplayhill7e,True
106,joffa7c,True
165,nbretherton3m,True
108,xmcguffog7j,True
19,amaddy52,True
7,dbever7m,False
2,adowdney7o,False
21,estutely7q,True
5,rhedger6i,True
179,caughtiel,False
165,caughtiel,True
149,mcaberasu,True
143,mcaberasu,True
116,caughtiel,True
136,mcaberasu,True
15,mbeevisp,True
15,amaddy52,True
181,gstrewthers81,True
177,mcaberasu,False
21,emilham4,True
43,amaddy52,True
65,dparmenter11,True
7,struggian87,False
180,gpentecust89,False
178,lside8b,False
21,maisman1d,True
56,jbonefant1i,False
133,mcaberasu,True
130,mcaberasu,True
105,joffa7c,True
136,jshowell8,False
128,jshowell8,True
142,cdumphries16,False
135,cdumphries16,True
128,mcaberasu,True
7,aalberti5i,True
117,mcaberasu,True
115,mcaberasu,True
100,mcaberasu,True
96,mcaberasu,True
17,bofogerty62,True
46,tdupoy2e,False
64,tdupoy2e,False
91,tdupoy2e,False
64,bofogerty62,True
180,fwasielewicz2j,True
180,mwolfendale40,True
169,mwolfendale40,False
136,mwolfendale40,False
2,ebradder91,True
100,lcork2m,True
133,mwolfendale40,True
96,lcork2m,False
83,mwolfendale40,True
143,lcork2m,False
7,atidcomb98,False
2,mpeacey5a,True
106,dguilloton9b,False
105,dguilloton9b,True
175,lside8b,True
1,dslowly9f,False
73,nbretherton3m,True
21,rsewley9i,False
181,cdoodson9k,False
83,nbretherton3m,True
21,btomkies9n,False
113,cdoodson9k,True
39,amaddy52,False
59,dparmenter11,True
1,atidcomb98,False
117,jshowell8,True
181,bhartwright9u,True
180,bhartwright9u,True
16,emilham4,True
161,tdupoy2e,False
38,amaddy52,True
169,tdupoy2e,False
172,tdupoy2e,False
178,dparmenter11,False
29,tdupoy2e,False
115,jshowell8,True
19,emilham4,True
100,jshowell8,True
62,dparmenter11,True
37,amaddy52,True
16,amaddy52,False
91,mcaberasu,True
83,mcaberasu,True
3,rpresslieac,False
2,rpresslieac,False
1,rpresslieac,True
179,bhartwright9u,True
46,amaddy52,True
37,wsemourai,True
105,amaddy52,True
167,cdumphries16,True
7,ctattamam,True
180,cdumphries16,True
60,dparmenter11,True
68,jbonefant1i,True
128,ctattamam,True
5,dhalfhideas,False
1,dhalfhideas,True
101,ehudlestonav,False
181,mpeacey5a,False
96,jshowell8,True
67,ctattamam,True
19,maisman1d,False
22,cbeaumontb1,False
132,cdumphries16,True
105,aalberti5i,True
129,cdumphries16,True
104,aalberti5i,True
103,aalberti5i,True
8,rhedger6i,True
102,aalberti5i,True
101,aalberti5i,True
1,rhedger6i,True
110,rhedger6i,True
109,rhedger6i,True
108,rhedger6i,True
102,jbruhnkebf,False
101,jbruhnkebf,True
107,rhedger6i,True
101,bleinthallbj,False
7,pbyardbl,False
180,lcork2m,False
106,rhedger6i,False
105,jcawcutt4i,True
104,jcawcutt4i,True
105,rhedger6i,True
104,rhedger6i,True
5,ajaneckibt,False
1,ajaneckibt,True
102,rhedger6i,True
110,ajaneckibt,True
101,vhabbenby,False
136,vballayc0,True
101,rhedger6i,True
103,rhedger6i,True
37,mpeacey5a,True
109,xmcguffog7j,False
15,emilham4,True
181,fwasielewicz2j,True
180,omutimerc8,True
108,dhalfhideas,True
110,dhalfhideas,True
57,dparmenter11,True
109,dhalfhideas,True
102,sberrisfordce,False
101,sberrisfordce,True
107,dhalfhideas,True
51,dparmenter11,True
179,jshowell8,True
65,hloncasterck,False
89,jwills70,True
1,ktyercn,False
49,dparmenter11,True
2,jbruhnkebf,False
107,xmcguffog7j,True
16,maisman1d,True
80,mcaberasu,True
77,mcaberasu,True
56,tdupoy2e,False
74,mcaberasu,True
68,mcaberasu,True
102,twintcy,False
107,twintcy,False
103,twintcy,False
180,jshowell8,True
102,rfraanchyonokd3,False
101,rfraanchyonokd3,True
5,pclayworthd6,False
1,pclayworthd6,True
101,twintcy,False
104,lcork2m,True
181,jshowell8,True
101,lcork2m,False
181,lcork2m,False
40,lside8b,True
46,mpeacey5a,True
44,mpeacey5a,False
103,jcawcutt4i,True
48,dparmenter11,True
26,gjeanondj,True
3,hloncasterck,False
17,hloncasterck,True
64,hloncasterck,True
102,jcawcutt4i,True
127,cdumphries16,True
101,jcawcutt4i,True
1,jcawcutt4i,True
67,mcaberasu,True
106,dhalfhideas,True
66,mcaberasu,True
181,gpentecust89,False
125,cdumphries16,True
181,mbeevisp,True
109,jcheckley1b,True
180,mbeevisp,True
179,mbeevisp,True
101,cdaingerfielde1,False
71,tdupoy2e,False
72,tdupoy2e,False
73,tdupoy2e,False
78,tdupoy2e,False
79,tdupoy2e,False
81,tdupoy2e,False
82,tdupoy2e,False
84,tdupoy2e,False
86,tdupoy2e,False
87,tdupoy2e,False
89,tdupoy2e,False
90,tdupoy2e,False
92,tdupoy2e,False
95,tdupoy2e,False
97,tdupoy2e,False
99,tdupoy2e,False
111,tdupoy2e,False
113,tdupoy2e,False
114,tdupoy2e,False
116,tdupoy2e,False
118,tdupoy2e,False
119,tdupoy2e,False
120,tdupoy2e,False
122,tdupoy2e,False
123,tdupoy2e,False
125,tdupoy2e,False
127,tdupoy2e,False
129,tdupoy2e,False
132,tdupoy2e,False
135,tdupoy2e,False
137,tdupoy2e,False
138,tdupoy2e,False
140,tdupoy2e,False
141,tdupoy2e,False
142,tdupoy2e,False
144,tdupoy2e,False
146,tdupoy2e,False
147,tdupoy2e,False
148,tdupoy2e,False
150,tdupoy2e,False
151,tdupoy2e,False
154,tdupoy2e,False
155,tdupoy2e,False
156,tdupoy2e,False
157,tdupoy2e,False
159,tdupoy2e,False
162,tdupoy2e,False
163,tdupoy2e,False
166,tdupoy2e,False
173,tdupoy2e,False
175,tdupoy2e,False
178,tdupoy2e,False
62,tdupoy2e,False
60,tdupoy2e,False
59,tdupoy2e,False
57,tdupoy2e,False
51,tdupoy2e,False
49,tdupoy2e,False
48,tdupoy2e,False
47,tdupoy2e,False
41,tdupoy2e,False
39,tdupoy2e,False
36,tdupoy2e,False
33,tdupoy2e,False
28,tdupoy2e,False
27,tdupoy2e,False
25,tdupoy2e,False
22,tdupoy2e,False
18,tdupoy2e,False
17,tdupoy2e,False
14,tdupoy2e,False
13,tdupoy2e,False
12,tdupoy2e,False
10,tdupoy2e,False
9,tdupoy2e,False
6,tdupoy2e,False
4,tdupoy2e,False
30,tdupoy2e,False
131,tdupoy2e,False
134,tdupoy2e,False
139,tdupoy2e,False
145,tdupoy2e,False
152,tdupoy2e,False
158,tdupoy2e,False
160,tdupoy2e,False
164,tdupoy2e,False
168,tdupoy2e,False
174,tdupoy2e,False
170,tdupoy2e,False
171,tdupoy2e,False
177,tdupoy2e,False
75,tdupoy2e,False
69,tdupoy2e,False
63,tdupoy2e,False
61,tdupoy2e,False
58,tdupoy2e,False
53,tdupoy2e,False
52,tdupoy2e,False
50,tdupoy2e,False
42,tdupoy2e,False
40,tdupoy2e,False
34,tdupoy2e,False
31,tdupoy2e,False
24,tdupoy2e,False
23,tdupoy2e,False
20,tdupoy2e,False
11,tdupoy2e,False
2,tdupoy2e,False
38,tdupoy2e,False
15,maisman1d,False
81,ayeatsh5,True
101,rhanburyh7,False
79,ayeatsh5,True
24,jshowell8,False
174,jshowell8,True
128,gcloneyhc,True
67,gcloneyhc,True
7,gcloneyhc,True
80,mwolfendale40,True
176,lcork2m,False
78,ayeatsh5,True
115,lcork2m,True
56,mwolfendale40,True
73,ayeatsh5,True
173,lcork2m,False
37,lcork2m,True
105,lcork2m,False
11,lcork2m,False
102,lcork2m,False
1,lcork2m,True
128,llambishs,True
67,llambishs,True
7,llambishs,True
104,dguilloton9b,True
103,dguilloton9b,True
102,dguilloton9b,True
101,pbrauningerhz,False
137,vballayc0,False
52,vballayc0,True
143,vballayc0,True
110,pclayworthd6,True
110,mpeacey5a,True
19,ndeeneri6,True
16,ndeeneri6,True
105,dhalfhideas,True
15,ndeeneri6,True
101,bjewsburyib,False
34,jshowell8,True
8,ndeeneri6,True
109,mpeacey5a,True
104,dhalfhideas,True
8,dhalfhideas,False
101,dguilloton9b,True
108,mpeacey5a,True
7,eappleyardik,True
101,edarvilleim,False
5,mramshawio,False
128,eappleyardik,False
67,eappleyardik,False
8,emilham4,True
178,ghatleyit,True
14,jshowell8,True
2,edarvilleim,True
13,jshowell8,True
133,jshowell8,True
107,mpeacey5a,True
106,mpeacey5a,True
70,fwasielewicz2j,True
105,astrickettj2,False
104,astrickettj2,True
32,wsemourai,True
29,wsemourai,True
103,astrickettj2,True
47,fwasielewicz2j,True
82,fwasielewicz2j,False
84,fwasielewicz2j,True
41,fwasielewicz2j,True
178,bhartwright9u,True
26,bofogerty62,True
5,bofogerty62,True
123,cdumphries16,True
106,jensten3h,False
91,hpollak2o,True
96,hpollak2o,False
105,jensten3h,True
46,jbonefant1i,True
103,jensten3h,True
32,jbonefant1i,True
51,fwasielewicz2j,True
19,jbonefant1i,True
65,vbeebee6y,False
17,vbeebee6y,True
102,ehudlestonav,True
12,jshowell8,True
64,vbeebee6y,True
91,jshowell8,True
109,ajaneckibt,True
105,mpeacey5a,True
108,ajaneckibt,True
104,mpeacey5a,True
103,mpeacey5a,True
7,abortolottik0,True
126,dplomerk2,False
97,dplomerk2,False
104,jensten3h,True
5,emilham4,True
120,cdumphries16,True
76,cdumphries16,False
116,cdumphries16,True
110,jensten3h,False
73,jshowell8,True
83,jshowell8,True
102,jensten3h,True
101,jensten3h,True
5,dplomerk2,False
1,jensten3h,True
8,maisman1d,True
80,tdupoy2e,False
7,leagleskj,True
8,hscuffhamkl,False
55,tdupoy2e,False
54,tdupoy2e,False
45,tdupoy2e,False
107,ajaneckibt,True
106,ajaneckibt,True
105,ajaneckibt,True
104,ajaneckibt,True
103,ajaneckibt,True
102,ajaneckibt,True
101,ajaneckibt,True
136,jbonefant1i,False
177,jbonefant1i,False
160,jbonefant1i,False
115,jbonefant1i,True
29,jbonefant1i,True
148,vballayc0,True
74,mwolfendale40,True
111,cdoodson9k,True
30,solliarl5,True
149,vballayc0,True
6,mfilshin6,True
144,vballayc0,False
67,leagleskj,False
128,leagleskj,False
2,ymatherlc,False
80,jshowell8,True
